2020-11-24 06:16:49 [INFO]:    Epoch       Batch       box      conf        id     total  nTargets      time
================================================================================
dataset summary
OrderedDict([('mot17', 547.0)])
total # identities: 548
start index
OrderedDict([('mot17', 0)])
================================================================================
2020-11-24 06:30:31 [INFO]:     1/29   2960/5315    0.0271    0.0958      10.5      -6.4      20.2    0.0729
2020-11-24 06:30:35 [INFO]:     1/29   3000/5315    0.0271    0.0956      10.5     -6.41      20.2    0.0947
2020-11-24 06:30:38 [INFO]:     1/29   3040/5315    0.0271    0.0958      10.5      -6.4      20.2     0.081
2020-11-24 06:30:42 [INFO]:     1/29   3080/5315    0.0271    0.0959      10.5     -6.41      20.3    0.0776
2020-11-24 06:30:45 [INFO]:     1/29   3120/5315     0.027     0.096      10.5     -6.41      20.2     0.087
2020-11-24 06:30:49 [INFO]:     1/29   3160/5315     0.027    0.0957      10.5     -6.42      20.2     0.105
2020-11-24 06:30:53 [INFO]:     1/29   3200/5315     0.027    0.0955      10.5     -6.42      20.2    0.0785
2020-11-24 06:30:56 [INFO]:     1/29   3240/5315    0.0269    0.0952      10.4     -6.43      20.2      0.11
2020-11-24 06:31:00 [INFO]:     1/29   3280/5315    0.0269     0.095      10.4     -6.44      20.3     0.107
2020-11-24 06:31:04 [INFO]:     1/29   3320/5315    0.0269     0.095      10.4     -6.44      20.2    0.0798
2020-11-24 06:31:07 [INFO]:     1/29   3360/5315    0.0269    0.0955      10.4     -6.43      20.2    0.0853
2020-11-24 06:31:11 [INFO]:     1/29   3400/5315    0.0269    0.0955      10.4     -6.44      20.3    0.0907
2020-11-24 06:31:14 [INFO]:     1/29   3440/5315    0.0269    0.0955      10.4     -6.44      20.2    0.0808
2020-11-24 06:31:18 [INFO]:     1/29   3480/5315    0.0269    0.0954      10.4     -6.44      20.2    0.0713
2020-11-24 06:31:22 [INFO]:     1/29   3520/5315    0.0268    0.0953      10.4     -6.44      20.3     0.102
2020-11-24 06:31:25 [INFO]:     1/29   3560/5315    0.0268    0.0953      10.4     -6.45      20.2    0.0833
2020-11-24 06:31:29 [INFO]:     1/29   3600/5315    0.0268    0.0953      10.4     -6.45      20.2     0.074
2020-11-24 06:31:32 [INFO]:     1/29   3640/5315    0.0267     0.095      10.4     -6.46      20.2    0.0994
